rownames,CRO,,EAS,,FRY,,LLW,,ROL,,SPC,
Metric,Reference 1,,Reference 2,,"Mining
 Influenced 1",,"Mining 
Influenced 2",,"Mining
Influenced 3",,"Mining 
Influenced 4",
,cor,p,cor,p,cor,p,cor,p,cor,p,cor,p
Hshannon,-0.071,0.879048193,-0.357,0.385120644,-0.143,0.7599453,-0.829,0.041562682,0.029,0.95715452,0.393,0.38331687
Hsimpson,-0.5,0.253169995,-0.357,0.385120644,-0.107,0.819150856,-0.829,0.041562682,0.314,0.54409329,0.25,0.588724448
rich,0.342,0.452251222,0.18,0.670344277,0.36,0.427148809,-0.6,0.208,-0.143,0.78717201,0.954,0.000836008
J,-0.321,0.482072038,-0.667,0.070987654,-0.321,0.482072038,-0.829,0.041562682,0.086,0.87174344,0.25,0.588724448
rich.E,0,1,0.441,0.274128125,0.259,0.574237066,-0.093,0.861523765,-0.837,0.03784097,0.316,0.489589745
rich.P,-0.2,0.667166326,0.11,0.794526821,0.291,0.526695193,-0.878,0.021311641,0.441,0.38093921,0.056,0.904850501
rich.T,0,1,-0.35,0.394741568,-0.055,0.907523209,-0.463,0.355232431,0.147,0.78090853,0.668,0.100897346
rich.C,0.02,0.966558047,-0.456,0.255617943,-0.075,0.873289515,-0.638,0.173260315,-0.647,0.16462459,0.147,0.75338789
rich.D,0.487,0.268241155,0.42,0.30015658,0.418,0.350294536,-0.395,0.438739252,0.455,0.36414325,0.741,0.05657714
rich.less.E,0.327,0.473596936,0.133,0.752907285,0.281,0.542047755,-0.771,0.072396501,0.353,0.49237015,0.927,0.002697476
rich.EPT,-0.374,0.408209427,0.025,0.952456686,0.234,0.613155037,-0.841,0.036057573,-0.116,0.82684821,0.418,0.350395113
rich.T.less.H,0.112,0.810599811,-0.143,0.734696285,-0.236,0.609790047,0.123,0.815776496,0.334,0.51770021,0.116,0.80484784
pT.less.H,0.5,0.253169995,0.167,0.693238812,0.179,0.701657943,0.086,0.87174344,0.943,0.00480466,-0.286,0.534509229
rich.EPT.less.H,-0.018,0.968843853,0.185,0.660412117,0.27,0.557730749,-0.759,0.080141228,-0.029,0.95652935,0.364,0.422581508
pEPT.less.H,0.571,0.180201989,-0.071,0.866526271,0.143,0.7599453,-0.657,0.156174927,0.771,0.0723965,-0.107,0.819150856
pEPT,0.5,0.253169995,-0.071,0.866526271,0.071,0.879048193,-0.257,0.622787172,0.086,0.87174344,-0.286,0.534509229
pEPT.less.Cheum,0.5,0.253169995,0.024,0.955374012,0.036,0.939408205,-0.257,0.622787172,0.086,0.87174344,-0.071,0.879048193
pEPT.less.HBL,0.321,0.482072038,0,1,0.143,0.7599453,0.029,0.957154519,0.943,0.00480466,-0.143,0.7599453
rich.PT,-0.367,0.417905395,-0.123,0.772132216,0.327,0.473596936,-0.899,0.014888622,0.463,0.35523243,0.43,0.335111139
pE,0.393,0.38331687,0.048,0.910849169,-0.107,0.819150856,0.029,0.956529352,-0.986,0.00030909,-0.306,0.504027009
rich.E.less.B,0.289,0.530091619,0.394,0.333601087,0.436,0.327582499,0.293,0.573392254,-0.837,0.03784097,-0.474,0.282179859
pE.less.B,0.393,0.38331687,-0.071,0.866526271,-0.107,0.819150856,0.152,0.774057503,-0.986,0.00030909,-0.607,0.148231161
pP,0.321,0.482072038,-0.381,0.351812553,0.143,0.7599453,-0.943,0.004804665,0.257,0.62278717,0.357,0.431611352
pP.less.Leuc,-0.179,0.701657943,-0.381,0.351812553,0.25,0.588724448,-0.486,0.328723032,0.886,0.01884548,0.107,0.819150856
pP.less.Amph,0.321,0.482072038,-0.381,0.351812553,0.143,0.7599453,-0.943,0.004804665,0.257,0.62278717,0.357,0.431611352
pP.less.Allo,0.25,0.588724448,-0.381,0.351812553,0.143,0.7599453,-0.943,0.004804665,0.257,0.62278717,0.071,0.879048193
pP.less.LAA,-0.357,0.431611352,-0.381,0.351812553,0.25,0.588724448,-0.257,0.622787172,0.771,0.0723965,0.25,0.588724448
pT,-0.286,0.534509229,-0.287,0.490015485,0.321,0.482072038,0.371,0.468478134,0.116,0.82684821,-0.429,0.337368311
pPT.H,0.786,0.036238463,-0.241,0.565348061,0.143,0.7599453,-1,0,0.771,0.0723965,0.286,0.534509229
pChi,-0.321,0.482072038,0.262,0.530922862,-0.27,0.557730749,0.486,0.328723032,0.771,0.0723965,0.107,0.819150856
pD,0.107,0.819150856,0.429,0.289403225,0,1,0.6,0.208,0.543,0.26570262,0.429,0.337368311
pOligo,0.214,0.644511581,-0.289,0.488052691,-0.637,0.123550447,0.6,0.208,0.143,0.78717201,0.296,0.518476964
