START,END,dis.simm,Stream
CRO-1,CRO-1,0,CRO (R)
CRO-1,CRO-2,150,CRO (R)
CRO-1,CRO-3,520,CRO (R)
CRO-1,CRO-4,890,CRO (R)
CRO-1,CRO-5,1275,CRO (R)
CRO-1,CRO-6,1710,CRO (R)
CRO-1,CRO-7,2050,CRO (R)
CRO-2,CRO-1,150,CRO (R)
CRO-2,CRO-2,0,CRO (R)
CRO-2,CRO-3,370,CRO (R)
CRO-2,CRO-4,740,CRO (R)
CRO-2,CRO-5,1125,CRO (R)
CRO-2,CRO-6,1560,CRO (R)
CRO-2,CRO-7,1900,CRO (R)
CRO-3,CRO-2,370,CRO (R)
CRO-3,CRO-3,0,CRO (R)
CRO-3,CRO-4,370,CRO (R)
CRO-3,CRO-5,755,CRO (R)
CRO-3,CRO-6,1190,CRO (R)
CRO-3,CRO-7,1530,CRO (R)
CRO-4,CRO-3,370,CRO (R)
CRO-4,CRO-4,0,CRO (R)
CRO-4,CRO-5,385,CRO (R)
CRO-4,CRO-6,820,CRO (R)
CRO-4,CRO-7,1160,CRO (R)
CRO-5,CRO-4,385,CRO (R)
CRO-5,CRO-5,0,CRO (R)
CRO-5,CRO-6,435,CRO (R)
CRO-5,CRO-7,775,CRO (R)
CRO-6,CRO-5,435,CRO (R)
CRO-6,CRO-6,0,CRO (R)
CRO-6,CRO-7,340,CRO (R)
CRO-7,CRO-6,340,CRO (R)
CRO-7,CRO-7,0,CRO (R)
EAS-1,EAS-1,0,EAS (R)
EAS-1,EAS-2,300,EAS (R)
EAS-1,EAS-3,605,EAS (R)
EAS-1,EAS-4,860,EAS (R)
EAS-1,EAS-5,1185,EAS (R)
EAS-1,EAS-6,1505,EAS (R)
EAS-1,EAS-7,1850,EAS (R)
EAS-1,EAS-8,2135,EAS (R)
EAS-2,EAS-1,300,EAS (R)
EAS-2,EAS-2,0,EAS (R)
EAS-2,EAS-3,305,EAS (R)
EAS-2,EAS-4,560,EAS (R)
EAS-2,EAS-5,885,EAS (R)
EAS-2,EAS-6,1205,EAS (R)
EAS-2,EAS-7,1550,EAS (R)
EAS-2,EAS-8,1835,EAS (R)
EAS-3,EAS-2,305,EAS (R)
EAS-3,EAS-3,0,EAS (R)
EAS-3,EAS-4,255,EAS (R)
